name,city,postalCode,address,url,longitude,latitude
Det Ny Teater,København V,1610,Gammel Kongevej 29,https://www.ticketmaster.dk/venue/det-ny-teater-kobenhavn-v-billetter/dnt/239,12.55545,55.67328
"Operaen, Holmen",København K,1438,Ekvipagemestervej 10,https://www.ticketmaster.dk/venue/operaen-holmen-kobenhavn-k-billetter/dok/203,12.60202,55.68203
Distortion,København K,1432,København,https://www.ticketmaster.dk/venue/distortion-kobenhavn-k-billetter/dis/203,12.56834,55.6761
Aveny-T,Frederiksberg C,1820,Frederiksberg Allé 102,https://www.ticketmaster.dk/venue/aveny-t-frederiksberg-c-billetter/ave/226,12.53316,55.67486
Arena Nord,Frederikshavn,9900,Harald Nielsens Plads 9,https://www.ticketmaster.dk/venue/arena-nord-frederikshavn-billetter/arn/203,10.51761,57.4419
Amager Bio,København S,2300,Øresundsvej 6,https://www.ticketmaster.dk/venue/amager-bio-kobenhavn-s-billetter/ama/256,12.60935,55.65794
"Remisen, Godsbanen",Aarhus C,8000,Skovgaardsgade 3,https://www.ticketmaster.dk/venue/remisen-godsbanen-aarhus-c-billetter/rgo/203,12.56834,55.6761
Wonderfestiwall,Allinge,3770,Slotslyngen,https://www.ticketmaster.dk/venue/wonderfestiwall-allinge-billetter/wob/203,14.75344,55.25638
Christiansgave,Thisted,7700,Tingstrupvej 2,https://www.ticketmaster.dk/venue/christiansgave-thisted-billetter/chg/203,8.68718,56.9573
Hotel Cecil,København K,1153,Niels Hemmingsens Gade 10,https://www.ticketmaster.dk/venue/hotel-cecil-kobenhavn-k-billetter/cec/203,12.57767,55.67937
FÆNGSLET,Horsens,8700,Fussingsvej 8,https://www.ticketmaster.dk/venue/fngslet-horsens-billetter/hfa/320,9.83624,55.87407
"Bygningen Vejle, Store Sal",Vejle,7100,Ved Anlæget 14b,https://www.ticketmaster.dk/venue/bygningen-vejle-store-sal-vejle-billetter/byv/203,9.53404,55.71125
Forum Black Box,Frederiksberg C,1925,Julius Thomsens Pl. 1,https://www.ticketmaster.dk/venue/forum-black-box-frederiksberg-c-billetter/fbb/284,12.55284,55.68112
ODEON,Odense C,5000,Odeons Kvarter 1,https://www.ticketmaster.dk/venue/odeon-odense-c-billetter/ode/203,10.39285,55.39828
"VEGA - Musikkens Hus, Store VEGA",København V,1674,Enghavevej 40,https://www.ticketmaster.dk/venue/vega-musikkens-hus-store-vega-kobenhavn-v-billetter/ves/297,12.54424,55.66799
"VEGA - Musikkens Hus, Lille VEGA",København V,1674,Enghavevej 40,https://www.ticketmaster.dk/venue/vega-musikkens-hus-lille-vega-kobenhavn-v-billetter/vel/297,12.54424,55.66799
Sct. Mariæ Kirke,Helsingør,3000,Sct. Anna Gade 38,https://www.ticketmaster.dk/venue/sct-mariae-kirke-helsingor-billetter/tmk/203,12.61304,56.03675
Tivolis Koncertsal,København V,1630,Vesterbrogade 3,https://www.ticketmaster.dk/venue/tivolis-koncertsal-kobenhavn-v-billetter/tko/284,12.56565,55.67465
Gram Slot - Den Holstenske Lade,Gram,6510,Slotsvej 54,https://www.ticketmaster.dk/venue/gram-slot-den-holstenske-lade-gram-billetter/gso/203,9.05976,55.29695
Roskilde Kongrescenter,Roskilde,4000,Møllehusvej 15,https://www.ticketmaster.dk/venue/roskilde-kongrescenter-roskilde-billetter/rkc/203,12.06726,55.64392
Ringsted Kongrescenter,Ringsted,4100,Nørretorv 55,https://www.ticketmaster.dk/venue/ringsted-kongrescenter-ringsted-billetter/rin/275,11.78762,55.45023
"Samsø Festival, Strandskoven",Samsø,8305,"Strandskoven 7C, Ballen",https://www.ticketmaster.dk/venue/samso-festival-strandskoven-samso-billetter/sam/203,10.63754,55.83376
Portalen,Greve,2670,Portalen 1,https://www.ticketmaster.dk/venue/portalen-greve-billetter/por/243,12.33213,55.59805
"Sceneriet, Det Ny Teater",København V,1610,Gammel Kongevej 29,https://www.ticketmaster.dk/venue/sceneriet-det-ny-teater-kobenhavn-v-billetter/sce/239,12.55545,55.67328
Scandic Falkoner,Frederiksberg,2000,Falkoner Alle 9,https://www.ticketmaster.dk/venue/scandic-falkoner-frederiksberg-billetter/fal/284,12.5335,55.67963
Harmonien,Haderslev,6100,Gåskærgade 19,https://www.ticketmaster.dk/venue/harmonien-haderslev-billetter/khn/277,9.48561,55.25238
Vendelbohus,Hjørring,9800,Nørregade 22,https://www.ticketmaster.dk/venue/vendelbohus-hjorring-billetter/vbo/203,9.95807,57.58919
Valbyparken,København SV,2450,Hammelstrupvej 98,https://www.ticketmaster.dk/venue/valbyparken-kobenhavn-sv-billetter/vap/203,12.52026,55.64535
Festivalpladsen,Vig,4560,Ravnsbjergvej 25,https://www.ticketmaster.dk/venue/festivalpladsen-vig-billetter/vig/203,11.53572,55.8533
Tønder Kulturhus,Tønder,6270,Ribelandevej 39,https://www.ticketmaster.dk/venue/schweizerhalle-tonder-kulturhus-tonder-billetter/tkh/203,8.87316,54.9437
"Templet, Lyngby",Kongens Lyngby,2800,Jernbanevej 16,https://www.ticketmaster.dk/venue/templet-lyngby-kongens-lyngby-billetter/tem/203,12.49962,55.7701
Tusindårsskoven,Odense V,5200,Falen,https://www.ticketmaster.dk/venue/tusindarsskoven-odense-v-billetter/tas/203,10.34127,55.38322
Magasinet,Odense C,5000,Farvergården 19,https://www.ticketmaster.dk/venue/magasinet-odense-c-billetter/mab/259,10.38054,55.39501
Reformert Kirke,København K,1123,Gothersgade 109,https://www.ticketmaster.dk/venue/reformert-kirke-kobenhavn-k-billetter/rfo/203,12.57586,55.683839999999996
Den Fynske Landsby,Odense S,5260,Sejerskovvej 20,https://www.ticketmaster.dk/venue/den-fynske-landsby-odense-s-billetter/dfl/259,10.38393,55.36689
Hermans - Tivoli Friheden,Aarhus C,8000,Skovbrynet 5,https://www.ticketmaster.dk/venue/hermans-tivoli-friheden-aarhus-c-billetter/tfr/281,10.19582,56.1372
Festival Site in Roskilde,Roskilde,4000,Festival Site,https://www.ticketmaster.dk/venue/festival-site-in-roskilde-roskilde-billetter/rof/307,12.08785,55.64191
HeadQuarters,Aarhus C,8000,Valdemarsgade 1,https://www.ticketmaster.dk/venue/headquarters-aarhus-c-billetter/heq/300,10.19933,56.15211
CASA Arena Horsens,Horsens,8700,Langmarksvej 59,https://www.ticketmaster.dk/venue/casa-arena-horsens-horsens-billetter/ach/284,9.85741,55.8712
Musikkens Hus,Aalborg,9000,Musikkens Plads 1,https://www.ticketmaster.dk/venue/musikkens-hus-aalborg-billetter/amu/316,9.93431,57.04793
"Det Kgl. Teater, Gamle Scene",København K,1017,Kongens Nytorv,https://www.ticketmaster.dk/venue/det-kgl-teater-gamle-scene-kobenhavn-k-billetter/dkg/193,12.58497,55.68094
Heartland på Egeskov Slot,Kværndrup,5772,Egeskov Gade 24,https://www.ticketmaster.dk/venue/heartland-pa-egeskov-slot-kvaerndrup-billetter/hfe/284,10.48833,55.17697
Royal Arena,København S,2300,Hannemanns Allé 18-20,https://www.ticketmaster.dk/venue/royal-arena-kobenhavn-s-billetter/rya/284,12.5737,55.62575
Svendborg Teater,Svendborg,5700,Teatergade 2,https://www.ticketmaster.dk/venue/svendborg-teater-svendborg-billetter/sbt/311,10.60937,55.06046
Konservatoriets Koncertsal,Frederiksberg C,1999,Julius Thomsens Gade 1,https://www.ticketmaster.dk/venue/konservatoriets-koncertsal-frederiksberg-c-billetter/mkk/281,12.55494,55.68319
"ODEON, Store Sal",Odense C,5000,Odeons Kvarter 1,https://www.ticketmaster.dk/venue/odeon-store-sal-odense-c-billetter/ode/313,10.39285,55.39828
Thisted Musikteater,Thisted,7700,Håndværker Torv 1,https://www.ticketmaster.dk/venue/thisted-musikteater-thisted-billetter/thi/203,8.69422,56.95503
Odense Congress Center,Odense SØ,5220,Ørbækvej 350,https://www.ticketmaster.dk/venue/odense-congress-center-odense-s-billetter/occ/259,10.53144,55.3316
Ledreborg Slotspark v/Lejre,Lejre,4320,Ledreborg Alle,https://www.ticketmaster.dk/venue/ledreborg-slotspark-v-lejre-lejre-billetter/led/210,11.97147,55.61
Koncertsalen i Alsion,Sønderborg,6400,Alsion 2,https://www.ticketmaster.dk/venue/koncertsalen-i-alsion-sonderborg-billetter/koa/203,9.779,54.91309
Kedelhallen,Frederiksberg,2000,Nyelandsvej 75A,https://www.ticketmaster.dk/venue/kedelhallen-frederiksberg-billetter/keh/203,12.52111,55.68448
Dalum landbrugsskole,Odense S,5260,Landbrugsvej 65,https://www.ticketmaster.dk/venue/dalum-landbrugsskole-odense-s-billetter/kdl/203,10.39812,55.36594
Herlev Medborgerhus,Herlev,2730,Herlev Gårdsvej 18,https://www.ticketmaster.dk/venue/herlev-medborgerhus-herlev-billetter/hem/203,12.43881,55.72684
Holmens Kirke,København K,1060,Holmens Kanal 21,https://www.ticketmaster.dk/venue/holmens-kirke-kobenhavn-k-billetter/hol/203,12.58386,55.67675
Falconer Salen,Frederiksberg,2000,Falkoner Alle 9,https://www.ticketmaster.dk/venue/falkoner-salen-frederiksberg-billetter/fal/154,12.53344,55.67971
"Gigantium, Aalborg",Aalborg Øst,9220,Willy Brandts Vej 31,https://www.ticketmaster.dk/venue/gigantium-aalborg-st-billetter/gig/203,9.96444,57.01882
Koncertsalen i Tivoli,København V,1630,Vesterbrogade 3,https://www.ticketmaster.dk/venue/koncertsalen-i-tivoli-kobenhavn-v-billetter/tko/271,12.56565,55.67465
Loppen,København K,1407,Bådsmandsstræde 43,https://www.ticketmaster.dk/venue/loppen-kobenhavn-k-billetter/lop/284,12.59679,55.67316
"Pumpehuset, Store Sal",København V,1554,Studiestræde 52,https://www.ticketmaster.dk/venue/pumpehuset-store-sal-kobenhavn-v-billetter/pus/284,12.56526,55.67713
Pumpehuset,København V,1554,Studiestræde 52,https://www.ticketmaster.dk/venue/pumpehuset-lille-sal-kobenhavn-v-billetter/pul/284,12.56526,55.67713
Bremen Teater,København V,1602,Nyropsgade 39-41,https://www.ticketmaster.dk/venue/bremen-teater-kobenhavn-v-billetter/brm/203,12.56114,55.67684
Parken,København Ø,2100,Øster Allé 50,https://www.ticketmaster.dk/venue/parken-kobenhavn--billetter/par/284,12.57069,55.70295
Jyske Bank Boxen,Herning,7400,Kaj Zartowsvej 7,https://www.ticketmaster.dk/venue/jyske-bank-boxen-herning-billetter/jbb/284,8.9537,56.118
Refshaleøen,København K,1432,Refshalevej 185,https://www.ticketmaster.dk/venue/refshaleoen-kobenhavn-k-billetter/ref/284,12.62219,55.69773
Fyens Væddeløbsbane,Odense SV,5250,Prins Haralds Allé 51 B,https://www.ticketmaster.dk/venue/fyens-vaeddelobsbane-odense-sv-billetter/fvb/203,10.34756,55.3743
"Sønder Hoved, Refshaleøen",København K,1432,Refshalevej 155,https://www.ticketmaster.dk/venue/sonder-hoved-refshaleoen-kobenhavn-k-billetter/soo/284,12.61172,55.69091
"Jysk Park, Norlys Loungen",Silkeborg,8600,Ansvej 4,https://www.ticketmaster.dk/venue/jysk-park-norlys-loungen-silkeborg-billetter/jpn/203,9.55733,56.17618
Nordstern Arena Horsens,Horsens,8700,Langmarksvej 59,https://www.ticketmaster.dk/venue/nordstern-arena-horsens-horsens-billetter/nsa/284,9.85735,55.87114
