"","name","city","postalCode","address","url","longitude","latitude"
"1","Grosse Freiheit 36","Hamburg",22767,"Grosse Freiheit 36","http://www.ticketmaster.de/venue/287636",9.957905,53.551187
"2","Gruenspan","Hamburg",22767,"Grosse Freiheit 58","http://www.ticketmaster.de/venue/287155",9.958075,53.551885
"3","Huxleys Neue Welt","Berlin",10967,"Hasenheide 107 – 113","http://www.ticketmaster.de/venue/286842",13.42138,52.486391
"4","Zentrum am Park","Emmelshausen",56281,"Rhein-Mosel-Straße 45","https://www.ticketmaster.de/venue/zentrum-am-park-emmelshausen-tickets/elszentrum/701",7.55656,50.15544
"5","Stadthalle (Theatersaal)","Mülheim",45479,"Theodor-Heuss-Platz 1","https://www.ticketmaster.de/venue/stadthalle-theatersaal--mulheim-tickets/mrustadtth/711",6.87471,51.42778
"6","Schlossgarten","Bruchsal",76646,"Schloss Bruchsal","https://www.ticketmaster.de/venue/schlossgarten-bruchsal-tickets/bruparkanl/701",8.59908,49.12692
"7","Stadthalle","Hockenheim",68766,"Rathausstraße 3","https://www.ticketmaster.de/venue/stadthalle-hockenheim-tickets/hokstadtha/701",8.54908,49.31849
"8","FZW","Dortmund",44263,"Ritterstraße 20","https://www.ticketmaster.de/venue/fzw-dortmund-tickets/dorfzw/701",7.4501,51.51481
"9","Arena Trier","Trier",54292,"Fort-Worth-Platz 1","https://www.ticketmaster.de/venue/arena-trier-trier-tickets/triarena/701",6.66426,49.77183
"10","Eissporthalle","Memmingen",87700,"Hühnerbergstraße 19","https://www.ticketmaster.de/venue/eissporthalle-memmingen-tickets/mmmeisspor/701",10.16293,47.97999
"11","Stadthalle Gersthofen","Gersthofen",86368,"Rathausplatz 2","https://www.ticketmaster.de/venue/stadthalle-gersthofen-gersthofen-tickets/augstadtha/701",10.87803,48.42433
"12","Feierwerk (Kranhalle)","Munich",81373,"Hansastraße 39-41","https://www.ticketmaster.de/venue/feierwerk-kranhalle--munchen-tickets/muefeierwk/701",11.53389,48.12914
"13","Feierwerk (Hansa 39)","Munich",81373,"Hansastraße 39-41","https://www.ticketmaster.de/venue/feierwerk-hansa-39--munchen-tickets/muehansane/701",11.53389,48.12914
"14","Burghof - STIMMEN-Festival","Lörrach",79539,"Herrenstraße 5","https://www.ticketmaster.de/venue/burghof-stimmen-festival-lorrach-tickets/loeburghof/701",7.65919,47.61109
"15","Schiesssportanlage","Neu Wulmstorf",21629,"Wesenberg 1","https://www.ticketmaster.de/venue/schiesssportanlage-neu-wulmstorf-tickets/nwuschiess/701",9.79941,53.45047
"16","WUNDERINO ARENA","Kiel",24103,"Europaplatz 1","https://www.ticketmaster.de/venue/wunderino-arena-kiel-tickets/kiesparkas/701",10.13139,54.32057
